Date,Tileflowmm,Surfaceflowmm,TilePg/ha,SurPg/ha,TileNo3kg/ha,SurNo3kg/ha,VWC_10cm,VWC_20cm,VWC_50cm,TMP_10cm,TMP_20cm,TMP_50cm
2/18/2020,6.7037,0,0.7959,0,0.4808,0,,,,,,
2/19/2020,1.7521,0,0.2244,0,0.1517,0,,,,,,
2/20/2020,0.8965,0,0.0511,0,0.0797,0,,,,,,
2/21/2020,0.6348,0,0.0171,0,0.0557,0,,,,,,
2/22/2020,0.5395,0,0.0121,0,0.0465,0,,,,,,
2/23/2020,0.4692,0,0.0061,0,0.0402,0,,,,,,
2/24/2020,0.4299,0,0.0073,0,0.0364,0,,,,,,
2/25/2020,0.9402,0,0.0111,0,0.0791,0,,,,,,
2/26/2020,2.7874,0,0.0292,0,0.2522,0,,,,,,
2/27/2020,1.9644,0,0.032,0,0.1854,0,,,,,,
2/28/2020,1.0272,0,0.0068,0,0.0953,0,,,,,,
2/29/2020,0.62,0,0.0089,0,0.0555,0,,,,,,
3/1/2020,0.8417,0,0.0227,0,0.0722,0,,,,,,
3/2/2020,1.9939,0,0.2268,0,0.1663,0,,,,,,
3/3/2020,5.7926,0,0.5872,0,0.4737,0,,,,,,
3/4/2020,2.1662,0,0.195,0,0.1877,0,,,,,,
3/5/2020,1.1802,0,0.1054,0,0.1034,0,,,,,,
3/6/2020,0.7729,0,0.0593,0,0.0664,0,,,,,,
3/7/2020,0.6227,0,0.0528,0,0.0516,0,,,,,,
3/8/2020,0.6243,0,0.0562,0,0.0508,0,,,,,,
3/9/2020,0.5909,0,0.0532,0,0.0481,0,,,,,,
3/10/2020,1.4706,0,0.1315,0,0.1212,0,,,,,,
3/11/2020,1.2868,0,0.1068,0,0.1072,0,,,,,,
3/12/2020,1.3507,0.2015,0.1193,0.1977,0.1033,0.0026,,,,,,
3/13/2020,6.5051,0.3273,0.594,0.3199,0.5048,0.0042,,,,,,
3/14/2020,1.9285,0,0.2399,0,0.1638,0,,,,,,
3/15/2020,1.212,0,0.1235,0,0.1041,0,,,,,,
3/16/2020,1.0036,0,0.0827,0,0.0844,0,,,,,,
3/17/2020,0.6961,0,0.0631,0,0.0581,0,,,,,,
3/18/2020,3.3592,0.2387,0.3983,0.1839,0.2375,0.0038,,,,,,
3/19/2020,7.5913,0.004,0.8659,0.0031,0.5293,0.0001,,,,,,
3/20/2020,6.2003,0,0.682,0,0.4689,0,,,,,,
3/21/2020,2.1393,0,0.2353,0,0.1795,0,,,,,,
3/22/2020,1.3239,0,0.1456,0,0.114,0,,,,,,
3/23/2020,1.5159,0,0.1574,0,0.1321,0,,,,,,
3/24/2020,1.3827,0,0.1385,0,0.123,0,,,,,,
3/25/2020,1.0019,0,0.1198,0,0.0877,0,,,,,,
3/26/2020,0.7494,0,0.1099,0,0.0628,0,,,,,,
3/27/2020,0.6331,0,0.0914,0,0.0503,0,,,,,,
3/28/2020,2.7084,0.0349,0.3911,0.0196,0.2082,0.0004,,,,,,
3/29/2020,6.7153,0.2072,1.0099,0.1161,0.5267,0.0026,,,,,,
3/30/2020,1.9686,0,0.3148,0,0.1594,0,,,,,,
3/31/2020,1.1105,0,0.1839,0,0.0913,0,,,,,,
4/1/2020,0.6719,0,0.1133,0,0.0557,0,,,,,,
4/2/2020,0.5328,0,0.0875,0,0.0436,0,,,,,,
4/3/2020,0.4667,0,0.0748,0,0.0378,0,,,,,,
4/4/2020,0.4214,0,0.0674,0,0.0341,0,,,,,,
4/5/2020,0.3417,0,0.0547,0,0.0276,0,,,,,,
4/6/2020,0.3501,0,0.056,0,0.0281,0,,,,,,
4/7/2020,2.7166,0,0.4347,0,0.2187,0,,,,,,
4/8/2020,4.1186,0,0.659,0,0.3381,0,,,,,,
4/9/2020,1.5528,0,0.2485,0,0.1304,0,,,,,,
4/10/2020,0.7302,0,0.1168,0,0.0618,0,,,,,,
4/11/2020,0.535,0,0.0861,0,0.0453,0,,,,,,
4/12/2020,0.5066,0,0.084,0,0.0421,0,,,,,,
4/13/2020,0.3833,0,0.0644,0,0.0313,0,,,,,,
4/14/2020,0.3745,0,0.0592,0,0.0305,0,,,,,,
4/15/2020,0.4295,0,0.0651,0,0.0349,0,,,,,,
4/16/2020,0.246,0,0.0383,0,0.0201,0,,,,,,
4/17/2020,0.4358,0,0.0701,0,0.0354,0,,,,,,
4/18/2020,0.4144,0,0.0687,0,0.0331,0,,,,,,
4/19/2020,0.4668,0,0.0792,0,0.0366,0,,,,,,
4/20/2020,0.4342,0,0.0738,0,0.0336,0,,,,,,
4/21/2020,0.28,0,0.0471,0,0.0215,0,,,,,,
4/22/2020,0.1176,0,0.0178,0,0.0089,0,,,,,,
4/23/2020,0.1687,0,0.0259,0,0.0126,0,,,,,,
4/24/2020,0.0917,0,0.0174,0,0.0068,0,,,,,,
4/25/2020,0.0869,0,0.0177,0,0.0065,0,,,,,,
4/26/2020,0.7075,0,0.1138,0,0.0569,0,,,,,,
4/27/2020,0.6127,0,0.0853,0,0.0502,0,,,,,,
4/28/2020,0.5288,0,0.0705,0,0.0417,0,,,,,,
4/29/2020,0.5493,0,0.0714,0,0.0422,0,,,,,,
4/30/2020,0.4425,0,0.0575,0,0.0339,0,,,,,,
5/1/2020,0.2663,0,0.0346,0,0.0202,0,,,,,,
5/2/2020,0.3436,0,0.0447,0,0.0257,0,,,,,,
5/3/2020,0.3459,0,0.045,0,0.0256,0,,,,,,
5/4/2020,0.2309,0,0.0302,0,0.0172,0,,,,,,
5/5/2020,0.2958,0,0.0461,0,0.0224,0,,,,,,
5/6/2020,0.1768,0,0.0263,0,0.0133,0,,,,,,
5/7/2020,0.1888,0,0.0236,0,0.0141,0,,,,,,
5/8/2020,0.1442,0,0.0183,0,0.0108,0,,,,,,
5/9/2020,0.0563,0,0.0077,0,0.0041,0,,,,,,
5/10/2020,0.1087,0,0.0145,0,0.008,0,,,,,,
5/11/2020,0.0529,0,0.0083,0,0.0038,0,,,,,,
5/12/2020,0.0468,0,0.0068,0,0.0034,0,,,,,,
5/13/2020,0.0416,0,0.0055,0,0.003,0,,,,,,
5/14/2020,0.0961,0,0.0133,0,0.0071,0,,,,,,
5/15/2020,0.7432,0,0.104,0,0.0617,0,,,,,,
5/16/2020,0.8341,0,0.1168,0,0.0694,0,,,,,,
5/17/2020,0.6229,0,0.0872,0,0.0503,0,,,,,,
5/18/2020,2.7195,0,0.4024,0,0.2483,0,,,,,,
5/19/2020,7.8556,0.004,1.3491,0.0022,0.735,0.0001,,,,,,
5/20/2020,3.4395,0,0.3918,0,0.3261,0,,,,,,
5/21/2020,1.549,0,0.1239,0,0.1408,0,,,,,,
5/22/2020,1.0641,0,0.0846,0,0.0931,0,,,,,,
5/23/2020,0.8233,0,0.06,0,0.0705,0,,,,,,
5/24/2020,0.6481,0,0.0508,0,0.055,0,,,,,,
5/25/2020,1.112,0,0.1063,0,0.092,0,,,,,,
5/26/2020,1.3855,0,0.1179,0,0.1173,0,,,,,,
5/27/2020,0.8446,0,0.0617,0,0.0714,0,,,,,,
5/28/2020,0.684,0,0.0532,0,0.0571,0,,,,,,
5/29/2020,0.6175,0,0.0494,0,0.0508,0,,,,,,
5/30/2020,0.5411,0,0.0433,0,0.0436,0,,,,,,
5/31/2020,0.4878,0,0.039,0,0.0389,0,,,,,,
6/1/2020,0.5228,0,0.0451,0,0.044,0,,,,,,
6/2/2020,0.5954,0,0.0595,0,0.0557,0,,,,,,
6/3/2020,0.5987,0,0.0599,0,0.0545,0,,,,,,
6/4/2020,0.4166,0,0.0417,0,0.0373,0,,,,,,
6/5/2020,0.3221,0,0.0339,0,0.0286,0,,,,,,
6/6/2020,0.3224,0,0.0355,0,0.0285,0,,,,,,
6/7/2020,0.2475,0,0.0272,0,0.0216,0,,,,,,
6/8/2020,0.1962,0,0.0196,0,0.0172,0,,,,,,
6/9/2020,0.1807,0,0.0172,0,0.0157,0,,,,,,
6/10/2020,0.1374,0,0.0144,0,0.0117,0,,,,,,
6/11/2020,0.0407,0,0.0043,0,0.0033,0,,,,,,
6/12/2020,0.0394,0,0.0039,0,0.0032,0,,,,,,
6/13/2020,0.0462,0,0.0046,0,0.0037,0,,,,,,
6/14/2020,0.0297,0,0.0031,0,0.0024,0,,,,,,
6/15/2020,0.025,0,0.0026,0,0.002,0,,,,,,
6/16/2020,0.0252,0,0.0196,0,0.002,0,,,,,,
6/17/2020,0.0306,0,0.0126,0,0.0024,0,0.217638889,0.385166667,0.423083333,22.30401235,19.85493827,17.6712963
6/18/2020,0.0296,0,0.0069,0,0.0022,0,0.211958333,0.382625,0.420166667,21.50115741,20.32638889,17.9212963
6/19/2020,0.0215,0,0.003,0,0.0015,0,0.209875,0.380729167,0.415416667,22.15972222,20.57523148,18.12847222
6/20/2020,0.0193,0,0.0017,0,0.0014,0,0.206666667,0.3789375,0.410125,23.18171296,21.26851852,18.37152778
6/21/2020,0.0179,0,0.0016,0,0.0013,0,0.202854167,0.379041667,0.408666667,23.60300926,21.92476852,18.83564815
6/22/2020,0.0177,0,0.0016,0,0.0012,0,0.200291667,0.376854167,0.405208333,23.22685185,21.83217593,19.08796296
6/23/2020,0.018,0,0.0016,0,0.0013,0,0.198,0.376395833,0.40275,22.47916667,21.72106481,19.30902778
6/24/2020,0.0127,0,0.0011,0,0.0009,0,0.1986875,0.374833333,0.404458333,21.91435185,20.93055556,19.23032407
6/25/2020,0.011,0,0.001,0,0.0008,0,0.20175,0.3745625,0.403479167,22.31365741,21.19212963,19.14351852
6/26/2020,0.0166,0,0.0015,0,0.0011,0,0.242804348,0.374021739,0.403717391,22.66545894,21.54951691,19.22222222
6/27/2020,0.0202,0,0.0018,0,0.0014,0,0.325333333,0.378375,0.404208333,22.9837963,21.86689815,19.46180556
6/28/2020,0.0146,0,0.0013,0,0.001,0,0.3106875,0.380041667,0.40575,24.90393519,22.63657407,19.66666667
6/29/2020,0.0108,0,0.001,0,0.0008,0,0.297645833,0.383708333,0.405166667,26.26388889,23.7962963,20.10532407
6/30/2020,0.0096,0,0.0009,0,0.0007,0,0.283166667,0.3849375,0.4050625,26.875,24.53819444,20.60300926
7/1/2020,0.0069,0,0.0006,0,0.0005,0,0.2673125,0.384645833,0.404479167,26.54166667,24.56944444,21.01851852
7/2/2020,0.0049,0,0.0003,0,0.0003,0,0.2501875,0.382375,0.402145833,26.40625,24.42476852,21.17013889
7/3/2020,0.0045,0,0.0003,0,0.0003,0,0.235666667,0.3824375,0.402416667,27.31828704,24.88310185,21.33449074
7/4/2020,0.0035,0,0.0045,0,0.0001,0,0.221791667,0.383291667,0.401041667,28.26388889,25.72800926,21.69444444
7/5/2020,0.0029,0,0.0159,0,0,0,0.2113125,0.3796875,0.400166667,27.69444444,25.5150463,22.02314815
7/6/2020,0.0012,0,0.0117,0,0,0,0.2025625,0.380520833,0.3985625,27.83680556,25.85416667,22.21759259
7/7/2020,0.0044,0,0.0629,0,0,0,0.194416667,0.378708333,0.39675,26.9525463,25.72453704,22.44097222
7/8/2020,0.0024,0,0.0345,0,0,0,0.192520833,0.376666667,0.394604167,26.76388889,25.26736111,22.46180556
7/9/2020,0,0,0,0,0,0,0.192625,0.376583333,0.394,27.51273148,25.59375,22.47916667
7/10/2020,0,0,0,0,0,0,0.191,0.379291667,0.394833333,26.5474537,25.55092593,22.64814815
7/11/2020,0,0,0,0,0,0,0.190458333,0.375541667,0.393791667,25.9224537,24.65509259,22.52199074
7/12/2020,0,0,0,0,0,0,0.189020833,0.375895833,0.391729167,25.46875,24.49768519,22.35416667
7/13/2020,0,0,0,0,0,0,0.1905,0.373833333,0.39225,26.01388889,24.36689815,22.25462963
7/14/2020,0,0,0,0,0,0,0.187791667,0.372291667,0.391229167,25.4849537,24.19560185,22.12037037
7/15/2020,0,0,0,0,0,0,0.187041667,0.3721875,0.389791667,26.07291667,24.52083333,22.09259259
7/16/2020,0,0,0,0,0,0,0.183645833,0.371104167,0.3893125,25.63888889,24.68055556,22.20833333
7/17/2020,0,0,0,0,0,0,0.185104167,0.371395833,0.387541667,27.52777778,24.9849537,22.24537037
7/18/2020,0,0,0,0,0,0,0.182083333,0.371479167,0.384958333,27.78472222,25.76736111,22.5162037
7/19/2020,0,0,0,0,0,0,0.178270833,0.372479167,0.3859375,27.54166667,26.14814815,22.91203704
7/20/2020,0,0,0,0,0,0,0.17525,0.368958333,0.384083333,26.94560185,25.46064815,22.95833333
7/21/2020,0,0,0,0,0,0,0.173958333,0.369354167,0.385333333,27.63541667,25.7662037,22.97685185
7/22/2020,0,0,0,0,0,0,0.192625,0.366166667,0.3846875,25.29282407,24.99768519,23.05208333
7/23/2020,0,0,0,0,0,0,0.210791667,0.369125,0.3844375,26.43634259,24.96875,22.87962963
7/24/2020,0,0,0,0,0,0,0.211854167,0.371458333,0.385145833,27.51273148,25.61226852,22.9212963
7/25/2020,0,0,0,0,0,0,0.207645833,0.371854167,0.386104167,27.8900463,26.00231481,23.09259259
7/26/2020,0,0,0,0,0,0,0.203479167,0.3720625,0.385208333,28.03472222,26.27777778,23.32407407
7/27/2020,0,0,0,0,0,0,0.246833333,0.375916667,0.384291667,27.29050926,26.49305556,23.64351852
7/28/2020,0,0,0,0,0,0,0.322625,0.395541667,0.385458333,26.11574074,25.29861111,23.52777778
7/29/2020,0,0,0,0,0,0,0.295229167,0.398208333,0.385020833,26.47337963,25.2349537,23.34837963
7/30/2020,0,0,0,0,0,0,0.274895833,0.397791667,0.385166667,25.3287037,25.19560185,23.33564815
7/31/2020,0,0,0,0,0,0,0.257958333,0.394416667,0.384458333,24.99768519,24.19097222,22.97685185
8/1/2020,0,0,0,0,0,0,0.256645833,0.390583333,0.382645833,23.66203704,23.7662037,22.72222222
8/2/2020,0,0,0,0,0,0,0.291916667,0.387354167,0.3821875,22.7974537,23.01736111,22.45138889
8/3/2020,0,0,0,0,0,0,0.3059375,0.385395833,0.381479167,22.70717593,22.54976852,22.05092593
8/4/2020,0,0,0,0,0,0,0.327375,0.403125,0.381666667,22.44444444,22.40393519,21.88888889
8/5/2020,0,0,0,0,0,0,0.296208333,0.4053125,0.380229167,21.66435185,21.61805556,21.55092593
8/6/2020,0,0,0,0,0,0,0.270104167,0.401770833,0.379354167,21.97337963,21.62615741,21.21527778
8/7/2020,0,0,0,0,0,0,0.2458125,0.397125,0.379958333,22.30324074,21.73032407,21.04513889
8/8/2020,0,0,0,0,0,0,0.224895833,0.390395833,0.38025,22.67824074,21.84722222,21.01388889
8/9/2020,0,0,0,0,0,0,0.2093125,0.383395833,0.380041667,24.35416667,22.83912037,21.08796296
8/10/2020,0,0,0,0,0,0,0.1985625,0.378583333,0.379666667,25.28009259,23.84027778,21.45949074
8/11/2020,0,0,0,0,0,0,0.192625,0.372729167,0.383208333,24.62731481,23.8912037,21.89814815
8/12/2020,0,0,0,0,0,0,0.187729167,0.367833333,0.382729167,23.71412037,23.24652778,21.86574074
8/13/2020,0,0,0,0,0,0,0.184979167,0.363166667,0.381333333,24.31712963,23.18287037,21.73148148
8/14/2020,0,0,0,0,0,0,0.207458333,0.365645833,0.379458333,25.19791667,24.02199074,21.88425926
8/15/2020,0,0,0,0,0,0,0.3456875,0.4605625,0.381854167,24.77314815,23.79861111,22.06944444
8/16/2020,0,0,0,0,0,0,0.3260625,0.454291667,0.3853125,24.00925926,23.76041667,22.17592593
8/17/2020,0,0,0,0,0,0,0.305895833,0.448208333,0.384770833,22.95023148,22.92939815,22.06018519
8/18/2020,0,0,0,0,0,0,0.282625,0.43725,0.386895833,22.43055556,22.42013889,21.85185185
8/19/2020,0,0,0,0,0,0,0.257833333,0.425083333,0.385333333,21.41319444,21.62384259,21.46990741
8/20/2020,0,0,0,0,0,0,0.236583333,0.41225,0.3834375,21.27199074,21.16666667,21.07986111
8/21/2020,0,0,0,0,0,0,0.217854167,0.401125,0.3829375,22,21.3912037,20.81481481
8/22/2020,0,0,0,0,0,0,0.206854167,0.394125,0.38275,23.13541667,22.12615741,20.875
8/23/2020,0,0,0,0,0,0,0.2000625,0.386625,0.382854167,24.51388889,23.14351852,21.13888889
8/24/2020,0,0,0,0,0,0,0.196708333,0.3788125,0.3841875,24.56365741,23.67592593,21.51851852
8/25/2020,0,0,0,0,0,0,0.1991875,0.3716875,0.385041667,25.0625,23.84722222,21.88888889
8/26/2020,0,0,0,0,0,0,0.1963125,0.3696875,0.385729167,24.99652778,24.02893519,22.05555556
8/27/2020,0,0,0,0,0,0,0.1935,0.367375,0.385625,25.78009259,24.51736111,22.22222222
8/28/2020,0,0,0,0,0,0,0.244145833,0.369770833,0.386395833,25.32175926,24.69675926,22.51388889
8/29/2020,0,0,0,0,0,0,0.345604167,0.444541667,0.385416667,24.06828704,23.81944444,22.52430556
8/30/2020,0,0,0,0,0,0,0.30975,0.448104167,0.385708333,22.28935185,22.65162037,22.31597222
8/31/2020,0,0,0,0,0,0,0.286208333,0.435708333,0.386,21.58796296,21.78125,21.79166667
9/1/2020,0,0,0,0,0,0,0.267791667,0.4265,0.385375,22.88425926,22.3599537,21.5
9/2/2020,0,0,0,0,0,0,0.256416667,0.422916667,0.38425,23.32060185,22.86111111,21.66666667
9/3/2020,0,0,0,0,0,0,0.2436875,0.4138125,0.384166667,23.23032407,22.67476852,21.71759259
9/4/2020,0,0,0,0,0,0,0.220520833,0.399645833,0.385291667,22.47916667,22.42013889,21.66666667
9/5/2020,0,0,0,0,0,0,0.205229167,0.38625,0.383041667,20.93518519,21.22453704,21.33680556
9/6/2020,0,0,0,0,0,0,0.1958125,0.373604167,0.379541667,20.56134259,20.83101852,20.97222222
9/7/2020,0,0,0,0,0,0,0.2278125,0.366729167,0.381458333,20.6875,20.73148148,20.61458333
9/8/2020,0.2191,0,0.137,0,0.0055,0,0.356229167,0.464979167,0.404104167,22.02777778,21.06944444,20.5
9/9/2020,0,0,0,0,0,0,0.322208333,0.459020833,0.419708333,23.0775463,22.11574074,20.74537037
9/10/2020,0,0,0,0,0,0,0.3059375,0.45425,0.4218125,22.34606481,22.31944444,21.07291667
9/11/2020,0,0,0,0,0,0,0.292708333,0.447,0.424645833,20.26041667,21.00810185,21.02777778
9/12/2020,0,0,0,0,0,0,0.280395833,0.438666667,0.423083333,20.4375,20.27199074,20.55902778
9/13/2020,0,0,0,0,0,0,0.323416667,0.451041667,0.423604167,22.32060185,21.53587963,20.47685185
9/14/2020,0,0,0,0,0,0,0.3289375,0.449604167,0.423375,20.02430556,20.65856481,20.59722222
9/15/2020,0,0,0,0,0,0,0.311166667,0.441645833,0.422625,17.86458333,19.00115741,20.1724537
9/16/2020,0,0,0,0,0,0,0.297666667,0.434375,0.420083333,17.09606481,17.96643519,19.4837963
9/17/2020,0,0,0,0,0,0,0.283583333,0.428458333,0.4188125,17.0775463,17.79050926,18.96527778
9/18/2020,0,0,0,0,0,0,0.267125,0.418520833,0.416229167,16.24537037,17.21643519,18.60185185
9/19/2020,0,0,0,0,0,0,0.247395833,0.405,0.416208333,14.65162037,15.90509259,18.02777778
9/20/2020,0,0,0,0,0,0,0.234083333,0.396041667,0.412166667,14.40625,15.37731481,17.40625
9/21/2020,0,0,0,0,0,0,0.223854167,0.3871875,0.410520833,14.28819444,15.08912037,16.91666667
9/22/2020,0,0,0,0,0,0,0.2165,0.381125,0.409333333,14.37037037,14.88425926,16.55902778
9/23/2020,0,0,0,0,0,0,0.212958333,0.3754375,0.407166667,15.68055556,15.5,16.34722222
9/24/2020,0,0,0,0,0,0,0.2091875,0.372229167,0.40775,17.04282407,16.50694444,16.48958333
9/25/2020,0,0,0,0,0,0,0.202979167,0.366916667,0.407020833,16.72337963,16.50347222,16.71180556
9/26/2020,0,0,0,0,0,0,0.19975,0.3619375,0.40625,17.34606481,16.93402778,16.81597222
9/27/2020,0,0,0,0,0,0,0.197895833,0.360229167,0.405916667,18.59375,17.70833333,17.01388889
9/28/2020,0,0,0,0,0,0,0.193729167,0.35725,0.406208333,17.66666667,17.79513889,17.30555556
9/29/2020,0,0,0,0,0,0,0.189729167,0.352541667,0.404583333,15.48032407,16.36805556,17.23611111
9/30/2020,0,0,0,0,0,0,0.1875,0.348791667,0.402458333,13.94212963,15.20949074,16.79166667
10/1/2020,0,0,0,0,0,0,0.18575,0.345020833,0.4,13.2025463,14.33101852,16.23263889
10/2/2020,0,0,0,0,0,0,0.185166667,0.341854167,0.397208333,12.87268519,13.78240741,15.73263889
10/3/2020,0,0,0,0,0,0,0.182395833,0.339729167,0.3933125,11.79050926,13.04282407,15.28009259
10/4/2020,0,0,0,0,0,0,0.183541667,0.338708333,0.3923125,12.5,13.25231481,14.87152778
10/5/2020,0,0,0,0,0,0,0.183354167,0.3378125,0.391145833,12,12.80092593,14.6412037
10/6/2020,0,0,0,0,0,0,0.182375,0.337416667,0.3878125,11.92708333,12.52893519,14.32291667
10/7/2020,0,0,0,0,0,0,0.18375,0.3381875,0.385770833,14.21527778,13.67476852,14.23958333
10/8/2020,0,0,0,0,0,0,0.179333333,0.334020833,0.382875,13.37268519,13.66319444,14.44444444
10/9/2020,0,0,0,0,0,0,0.1769375,0.330104167,0.3795625,13.47685185,13.40972222,14.36111111
10/10/2020,0,0,0,0,0,0,0.1794375,0.332729167,0.378255319,16.55439815,15.1712963,14.46808511
10/11/2020,0,0,0,0,0,0,0.177958333,0.335020833,0.378145833,17.25347222,16.22222222,15.06597222
10/12/2020,0,0,0,0,0,0,0.175041667,0.332875,0.377208333,16.28587963,16.01388889,15.46527778
10/13/2020,0,0,0,0,0,0,0.172916667,0.331354167,0.376833333,15.17476852,15.39583333,15.46527778
10/14/2020,0,0,0,0,0,0,0.1701875,0.326645833,0.373666667,13.09953704,14.02777778,15.22106481
10/15/2020,0,0,0,0,0,0,0.169395833,0.3255,0.373166667,12.96412037,13.78125,14.82638889
10/16/2020,0,0,0,0,0,0,0.167645833,0.321833333,0.371104167,11.25462963,12.41319444,14.44675926
10/17/2020,0,0,0,0,0,0,0.1659375,0.3193125,0.36725,10.25578704,11.36574074,13.83101852
10/18/2020,0,0,0,0,0,0,0.166125,0.319291667,0.364958333,10.46875,11.35648148,13.32407407
10/19/2020,0,0,0,0,0,0,0.282729167,0.317854167,0.365041667,10.86458333,11.51041667,13.10185185
10/20/2020,0,0,0,0,0,0,0.340416667,0.410625,0.365104167,10.88078704,11.38425926,12.95833333
10/21/2020,0.4361,0,0.0488,0,0.0003,0,0.381520833,0.458083333,0.4405625,13.66550926,12.61458333,12.79166667
10/22/2020,0,0,0,0,0,0,0.343979167,0.4510625,0.454729167,15.35185185,14.02893519,13.26157407
10/23/2020,0,0,0,0,0,0,0.333479167,0.448875,0.454270833,16.31481481,15.11342593,13.83680556
10/24/2020,0,0,0,0,0,0,0.346604167,0.452854167,0.4499375,13.18287037,14.23148148,14.28125
10/25/2020,0,0,0,0,0,0,0.337041667,0.444708333,0.449479167,11.32175926,12.38888889,13.93055556
10/26/2020,0,0,0,0,0,0,0.337020833,0.440479167,0.450583333,11.05324074,11.94328704,13.44560185
10/27/2020,0,0,0,0,0,0,0.352708333,0.444291667,0.45075,10.20601852,11.28125,13.05324074
10/28/2020,0,0,0,0,0,0,0.368,0.451166667,0.456875,10.04861111,10.84259259,12.61805556
10/29/2020,4.5314,0,0.5371,0,0.0102,0,0.395708333,0.457416667,0.473729167,9.759259259,10.49652778,12.15162037
10/30/2020,0.8887,0,0.0842,0,0.0376,0,0.354117647,0.446058824,0.474352941,9.212418301,10.00490196,11.85947712
10/31/2020,0.2493,0,0.0628,0,0.0155,0,0.343395833,0.439979167,0.471854167,7.616898148,8.913194444,11.49768519
11/1/2020,0.1232,0,0.2658,0,0.0059,0,0.336416667,0.436583333,0.467458333,7.256944444,8.649305556,11.03472222
11/2/2020,0.0262,0,0.0735,0,0.0012,0,0.328791667,0.431479167,0.462541667,5.476851852,7.143518519,10.55787037
11/3/2020,0.0107,0,0.0179,0,0.0005,0,0.326510638,0.42812766,0.460042553,6.591016548,7.060283688,9.93498818
11/4/2020,0.0043,0,0.0121,0,0,0,0.323520833,0.428375,0.457333333,9.163194444,8.528935185,9.810185185
11/5/2020,0.0031,0,0.0085,0,0,0,0.318791667,0.428854167,0.457458333,10.44560185,9.856481481,10.15046296
11/6/2020,0.0017,0,0.0034,0,0,0,0.311854167,0.427145833,0.457458333,11.15856481,10.53819444,10.59953704
